Uniprot,RF_mcnc,RF_mclcnc,RF_all,SVM_mcnc,SVM_mclcnc,SVM_all
P53355,0.00037070388237596803,0.0003877490395078501,0.00038901686412249454,-0.09310451361339764,-0.13744176553622778,0.06859909894376237
Q6PIU2,0.0,8.421312530723803e-05,0.00047687287598661396,0.04143630209712647,0.009382825630147931,0.19155589730579695
P24863,0.00041768825510486463,0.00036731894368073533,0.0009067359719269295,-0.0017561061418223944,-0.07606888672888394,-0.14100608033247858
P07333,9.680425172907959e-05,7.245148567104796e-05,0.00032019092659482673,-0.060576852326153126,-0.10174788596592567,-0.026445792977951688
Q9GZR1,0.00035185498368204887,0.0006900751153608518,0.0007794799603039995,-0.1673891662358005,-0.17133143621270028,-0.3169332716265789
Q14330,0.000474061283475953,0.0006750338033237153,0.0005812942988873665,-0.008716210427115866,-0.0470120004062424,-0.3312929665949923
Q9UBL9,0.0004366493043327037,0.0002731459063430283,0.0004991046899198962,-0.01979634311091664,0.02516689102428897,0.03282755087919473
P05412,0.000614899199709811,0.0005163872110188459,0.0005330041774180358,0.036542761836489385,-0.21208189649191087,-0.4868690078256471
P27448,0.0009569287242925312,0.0005240300550153582,0.0009626027992971309,-0.04322716968387783,0.2937951227448657,0.5049108308497514
P31639,6.968662888500361e-05,4.1468088704132374e-05,0.0003027125090227873,0.014135413990375168,0.007982802464149197,-0.26241801349064103
P51617,0.00101472107747086,0.0019028426261195703,0.0009101546438369304,0.043087535369846025,-0.04203503617232708,0.22186466423849271
P08236,0.0009439056086835783,0.00033966540210413347,0.0006060493499205055,0.19167883539791,0.2794748253406151,0.3675200102915842
P23141,0.0005662718786296015,0.0005211309551476558,0.0004610525140204228,-0.2874572635648304,-0.21871289831434726,-0.3917937754176879
Q01196,0.000683994264722913,0.00038858920763186304,0.0005236314243653135,0.0554429737370696,0.14463533454705368,0.017389045712373985
Q9Y271,0.0006656968209162976,0.00040677292139774664,0.00047728907789765235,0.0599958208767703,-0.017436654977855487,-0.08259358570233871
P62937,0.0008383925472272035,0.0004256428197860622,0.000616163073595729,-0.1119813303577733,0.09714890028373996,0.24790943501288723
Q9H3R0,0.0010504901180496881,0.0012395164087867215,0.001012563474652341,0.0542489263538319,0.12439265463274772,-0.09828213679789853
Q15788,0.0009552601070690553,0.00026074314924230517,0.0007402492653818104,-0.11891684238684667,0.08367177112463617,0.12055499658778723
O14764,0.00045766628707621086,0.0010067513884744388,0.0006450787459695013,0.1943271896363038,0.2610659647839069,0.35086372891904105
Q8WU08,0.0001514961745796742,0.0008381078833111315,0.0005856625562566011,0.07341764244737227,0.007126955543335714,-0.11855336489887158
P22455,0.0004891112243522726,0.0011052079069325783,0.0010421122460828381,-0.1201185803430594,-0.018820222699408067,0.015294081937767766
P50570,0.0004963929925330242,0.00027571361718650776,0.0005262214899532398,0.02825420065659543,-0.002805589404996869,0.21791361880105647
Q13332,0.00023932834119840468,0.0002665805798924393,0.00025578821398693,-0.04713754097338403,-0.12446662595938172,0.02212957264674431
P42892,0.0008733052461977188,0.0006292005511435143,0.0005150462124435368,-0.1452858126861467,-0.19042654466321865,-0.3063372167630364
Q8TDD5,0.0006474603806608965,0.0005100129309161893,0.0007552186056368757,-0.16878156360074106,0.0015579126456065828,-0.1952048109163349
Q16790,0.00034756960886800483,0.0005961441248913552,0.0005488456572859345,0.12626739647980526,0.4168804247818032,0.3977185898580655
P00374,0.00039348937350871003,0.0005076189803571897,0.00033054384654160676,-0.1840522458125348,-0.0797451365485838,-0.013419634273775072
P42574,0.0004271539325435734,0.0006584534413469215,0.0007879509698098188,0.2983090560148419,0.0884747566380398,0.059779268281139886
Q99720,0.0010136823005144464,0.0008195008302473097,0.000748067144562118,0.32786765510660265,-0.009337053509992107,-0.2662509143118861
P41597,0.0003193404601059413,0.00011633236854603296,0.0003033164033620754,0.026025306673922263,-0.0975208752851348,-0.15756914744004513
P25106,0.0006195493394251717,0.00017802151701091338,0.0003028055350683031,0.0283786602718106,0.009155634201806607,0.02429082774504987
Q9UM47,0.0006538208614914003,0.0005473480003646768,0.0007362389066851812,0.02102659218826017,0.0802760159090295,0.08675711856966467
