"","Symbol","Uniprot","entrez"
"333","SLC6A4","P31645",6532
"334","CCKBR","P32239",887
"335","GPR183","P32249",1880
"336","CHRNA3","P32297",1136
"337","GRK4","P32298",2868
"338","CDA","P32320",978
"339","SLC8A1","P32418",6546
"340","MC5R","P33032",4161
"341","CYP2C19","P33261",1557
"342","DUT","P33316",1854
"343","GABRA3","P34903",2556
"344","GRK5","P34947",2869
"345","MPI","P34949",4351
"346","PTGER1","P34995",5731
"347","CRHR1","P34998",1394
"348","CRHR1","P34998",104909134
"349","PRSS3","P35030",5646
"350","CA5A","P35218",763
"351","CTNNB1","P35222",1499
"352","NOS2","P35228",4843
"353","SSTR5","P35346",6755
"354","ADRA1A","P35348",148
"355","PTGS2","P35354",5743
"356","OPRM1","P35372",4988
"357","APLNR","P35414",187
"358","GCK","P35557",2645
"359","PCK1","P35558",5105
"360","SOAT1","P35610",6646
"361","GRK3","P35626",157
"362","DDIT3","P35638",1649
"363","AHR","P35869",196
"364","CHRNA7","P36544",1139
"365","NUDT1","P36639",4521
"366","FLT3","P36888",2322
"367","ACVR1B","P36896",91
"368","TGFBR1","P36897",7046
"369","HSD17B3","P37058",3293
"370","HSD17B2","P37059",3294
"371","SCNN1A","P37088",6337
"372","AVPR1A","P37288",552
"373","BRCA1","P38398",672
"374","GRIK1","P39086",2897
"375","DDOST","P39656",1650
"376","PSMB10","P40306",5699
"377","VHL","P40337",7428
"378","MDH2","P40926",4191
"379","CSK","P41240",1445
"380","MAP3K8","P41279",1326
"381","ADCYAP1R1","P41586",117
"382","HTR2B","P41595",3357
"383","CCR2","P41597",729230
"384","STAT1","P42224",6772
"385","STAT6","P42226",6778
"386","GRIA3","P42263",2892
"387","AKR1C3","P42330",8644
"388","MTOR","P42345",2475
"389","CASP3","P42574",836
"390","CASP2","P42575",835
"391","TEC","P42680",7006
"392","ECE1","P42892",1889
"393","PTGFR","P43088",5737
"394","PTGER3","P43115",5733
"395","PTGIR","P43119",5739
"396","CTSK","P43235",1513
"397","GRK6","P43250",2870
"398","ZAP70","P43403",7535
"399","SYK","P43405",6850
"400","NAMPT","P43490",10135
"401","TNNT2","P45379",7139
"402","MAPK8","P45983",5599
"403","MAPK9","P45984",5601
"404","GPR6","P46095",2830
"405","NOTCH1","P46531",4851
"406","BDKRB1","P46663",623
"407","MAP2K3","P46734",5606
"408","GALR1","P47211",2587
"409","PLA2G4A","P47712",5321
"410","GABRA2","P47869",2555
"411","HTR5A","P47898",3361
"412","AVPR1B","P47901",553
"413","MTNR1A","P48039",4543
"414","KCNJ1","P48048",3758
"415","KCNJ6","P48051",3763
"416","PREP","P48147",5550
"417","GABRA4","P48169",2557
"418","GIPR","P48546",2696
"419","CSNK1D","P48730",1453
"420","PIK3CG","P48736",5294
"421","SLC9A3","P48764",6550
"422","MAPKAPK2","P49137",9261
"423","NPY2R","P49146",4887
"424","CDK8","P49336",1024
"425","FNTA","P49354",2339
"426","CASP4","P49662",837
"427","CXCR3","P49682",2833
"428","PRLHR","P49683",2834
"429","PSMB2","P49721",5690
"430","CLK1","P49759",1195
"431","CLK2","P49760",1196
"432","RGS4","P49798",5999
"433","KLK7","P49862",5650
"434","AGTR2","P50052",186
"435","PPOX","P50336",5498
"436","HTR6","P50406",3362
"437","DNM2","P50570",1785
"438","CDK9","P50750",1025
"439","ATP4B","P51164",496
"440","RORC","P51449",6097
"441","MMP15","P51511",4324
"442","CYP2J2","P51589",1573
"443","IRAK1","P51617",3654
"444","PSMD7","P51665",5713
"445","CCR4","P51679",1233
"446","CCR5","P51681",1234
"447","CCR6","P51684",1235
"448","CCR8","P51685",1237
"449","RPS6KA3","P51812",6197
"450","BMX","P51813",660
"451","CASP5","P51878",838
"452","MNAT1","P51948",4331
"453","GTF2A1","P52655",2957
"454","AKR1C2","P52895",1646
"455","DAPK1","P53355",1612
"456","LIMK2","P53671",3985
"457","MAPK12","P53778",6300
"458","MAPK10","P53779",5602
"459","CACNA2D1","P54289",781
"460","YARS","P54577",8565
"461","PRKAG1","P54619",5571
"462","PDE1A","P54750",5136
"463","EPHB3","P54753",2049
"464","EPHA5","P54756",2044
"465","EPHB1","P54762",2047
"466","EPHA4","P54764",2043
"467","PTPN5","P54829",84867
"468","VCP","P55072",7415
"469","F2RL1","P55085",2150
"470","MTTP","P55157",4547
"471","BRPF1","P55201",7862
"472","ADK","P55263",132
"473","GFER","P55789",2671
"474","HDAC4","P56524",9759
"475","CTBP2","P56545",1488
"476","SIK1","P57059",150094
"477","RIPK4","P57078",54101
"478","EIF4A1","P60842",1973
"479","PSMA6","P60900",5687
"480","S100A10","P60903",6281
"481","CXCR4","P61073",7852
"482","PSMC1","P62191",5700
"483","PSMC5","P62195",5705
"484","PPIA","P62937",5478
"485","FKBP1A","P62942",2280
"486","UBE2I","P63279",7329
"487","TNNC1","P63316",7134
"488","CSNK2B","P67870",1460
"489","TUBA4A","P68366",7277
"490","TUBB4B","P68371",10383
"491","CSNK2A1","P68400",1457
"492","ADAM8","P78325",101
"493","GABRE","P78334",2564
"494","PIP4K2B","P78356",8396
"495","SRPK2","P78362",6733
"496","CCNA1","P78396",8900
"497","PRKDC","P78527",5591
"498","SMAD3","P84022",4088
"499","XIAP","P98170",331
"500","CDK3","Q00526",1018
"501","CDK5","Q00535",1020
"502","CDK16","Q00536",5127
"503","CDK17","Q00537",5128
"504","SORD","Q00796",6652
"505","CACNA1B","Q00975",774
"506","MDM2","Q00987",4193
"507","RUNX1","Q01196",861
"508","AMPD3","Q01432",272
"509","FABP5","Q01469",2171
"510","CACNA1D","Q01668",776
"511","NAAA","Q02083",27163
"512","GUCY1A1","Q02108",2982
"513","DHODH","Q02127",1723
"514","PRKCE","Q02156",5581
"515","CENPE","Q02224",1062
"516","APBA1","Q02410",320
"517","TEK","Q02763",7010
"518","TOP2B","Q02880",7155
"519","PPARD","Q03181",5467
"520","RELA","Q04206",5970
"521","FOLH1","Q04609",2346
"522","PRKCQ","Q04759",5588
"523","AKR1C1","Q04828",1645
"524","DNM1","Q05193",1759
"525","PTPN12","Q05209",5782
"526","LIPE","Q05469",3991
"527","PRKCZ","Q05513",5590
"528","MBTD1","Q05BQ5",54799
"529","PTPN11","Q06124",5781
"530","BTK","Q06187",695
"531","PAX8","Q06710",7849
"532","ENPEP","Q07075",2028
"533","TNK2","Q07912",10188
"534","CYP24A1","Q07973",1591
"535","PPP3CA","Q08209",5530
"536","PDE4D","Q08499",5144
"537","PPID","Q08752",5481
"538","ADCY1","Q08828",107
"539","DMPK","Q09013",1760
"540","ABCC8","Q09428",6833
"541","SREBF2","Q12772",6721
"542","MAP4K2","Q12851",5871
"543","GRIN2A","Q12879",2903
"544","PTPN13","Q12923",5783
"545","TRAP1","Q12931",10131
"546","GRIK3","Q13003",2899
"547","PAK2","Q13177",5062
"548","STK3","Q13188",6788
"549","GRIN2B","Q13224",2904
"550","MAP3K1","Q13233",4214
"551","PRKG2","Q13237",5593
"552","GRM1","Q13255",2911
"553","PTGDR","Q13258",5729
"554","NR5A1","Q13285",2516
"555","CRHR2","Q13324",1395
"556","PTPRS","Q13332",5802
"557","PDE3B","Q13370",5140
"558","PLD1","Q13393",5337
"559","ADAM9","Q13443",8754
"560","FKBP5","Q13451",2289
"561","ROCK1","Q13464",6093
"562","TNK1","Q13470",8711
"563","BIRC3","Q13489",330
"564","TRPC3","Q13507",7222
"565","ASAH1","Q13510",427
"566","PRPF4B","Q13523",8899
"567","HDAC1","Q13547",3065
"568","CAMK2G","Q13555",818
"569","STIM1","Q13586",6786
"570","HTR4","Q13639",3360
"571","CACNA1S","Q13698",779
"572","BMPR2","Q13873",659
"573","PTK6","Q13882",5753
"574","KLF5","Q13887",688
"575","PDE7A","Q13946",5150
"576","CBFB","Q13951",865
"577","PDE6H","Q13956",5149
"578","PRKG1","Q13976",5592
"579","CAMK1","Q14012",8536
"580","PDE1C","Q14123",5137
"581","KEAP1","Q14145",9817
"582","IKBKE","Q14164",9641
"583","PTK2B","Q14289",2185
"584","GPR18","Q14330",2841
"585","GRM2","Q14416",2912
"586","SCN5A","Q14524",6331
"587","SQLE","Q14534",6713
"588","KCNJ11","Q14654",3767
"589","MELK","Q14680",9833
"590","CASP8","Q14790",841
"591","GRM3","Q14832",2913
"592","GRM4","Q14833",2914
"593","SLC10A1","Q14973",6554
"594","PSMD6","Q15008",9861
"595","SUZ12","Q15022",23512
"596","BRD3","Q15059",8019
"597","CDK5R1","Q15078",8851
"598","PDK3","Q15120",5165
"599","EBP","Q15125",10682
"600","PRKD1","Q15139",5587
"601","ERBB4","Q15303",2066
"602","EPHA7","Q15375",2045
"603","SF3B3","Q15393",23450
"604","TPSAB1","Q15661",7177
"605","NPY5R","Q15761",4889
"606","NCOA1","Q15788",8648
"607","CHRNA6","Q15825",8973
"608","GRK1","Q15835",6011
"609","SCN9A","Q15858",6335
"610","ADRM1","Q16186",11047
"611","NFE2L2","Q16236",4780
"612","NTRK3","Q16288",4916
"613","GABRA6","Q16445",2559
"614","GRIK5","Q16478",2901
"615","PKN1","Q16512",5585
"616","CAMK4","Q16566",814
"617","SLC18A3","Q16572",6572
"618","CALCRL","Q16602",10203
"619","PTGIS","Q16647",5740
"620","CYP1B1","Q16678",1545
"621","CA9","Q16790",768
"622","DDR2","Q16832",4921
"623","PFKFB4","Q16877",5210
"624","AAK1","Q2M2I8",22848
"625","HKDC1","Q2TB90",80201
"626","MYLK3","Q32MK0",91807
"627","MOGAT2","Q3SYC2",80168
"628","TUBB8","Q3ZCM7",347688
"629","SLC22A6","Q4U2R8",9356
"630","BRDT","Q58F21",676
"631","OGFRL1","Q5TC84",79627
"632","CDC42BPA","Q5VT25",8476
"633","ANO1","Q5XXA6",55107
"634","NEK5","Q6P3R8",341676
"635","NOTUM","Q6P988",147111
"636","SLC27A1","Q6PCB7",376497
"637","NCEH1","Q6PIU2",57552
"638","DPP8","Q6V1X1",54878
"639","TUBA1A","Q71U36",7846
"640","TAOK1","Q7L7X3",57551
"641","TAS1R3","Q7RTX0",83756
"642","TAS1R1","Q7RTX1",80835
"643","DPP9","Q86TI2",91039
"644","CARM1","Q86X55",10498
"645","MYLK4","Q86YV6",340156
"646","TMPRSS6","Q8IU80",164656
"647","MAP4K3","Q8IVH8",8491
"648","BRSK2","Q8IWQ3",9024
"649","NIM1K","Q8IY84",167359
"650","GABRG1","Q8N1C3",2565
"651","CA13","Q8N1Q1",377677
"652","AADAT","Q8N5Z0",51166
"653","CSNK1A1L","Q8N752",122011
"654","PIK3C3","Q8NEB9",5289
"655","TRPV1","Q8NER1",7442
"656","CSNK2A3","Q8NEV1",283106
"657","COQ8A","Q8NI60",56997
"658","PSMA8","Q8TAA3",143471
"659","UBA3","Q8TBC4",9039
"660","PIP4K2C","Q8TBX8",79837
"661","PHOSPHO1","Q8TCT1",162466
"662","PROKR1","Q8TCW9",10887
"663","NEK9","Q8TD19",91754
"664","MCOLN3","Q8TDD5",55283
"665","OXER1","Q8TDS5",165140
"666","GPR119","Q8TDV5",139760
"667","NEK7","Q8TDX7",140609
"668","PANK1","Q8TE04",53354
"669","TAS1R2","Q8TE23",80834
"670","DOT1L","Q8TEK3",84444
"671","SCARB1","Q8WTV0",949
"672","STK32A","Q8WU08",202374
