,split,balanced_accuracy,recall,precision,ROC_AUC
48,<itertools.product object at 0x7f1a9d680318>,0.6529209621993126,0.6666666666666666,0.6236559139784946,0.6529209621993126
49,<itertools.product object at 0x7f1a9d680318>,0.7006713018460801,0.7209302325581395,0.6666666666666666,0.7006713018460801
50,<itertools.product object at 0x7f1a9d680318>,0.6619190404797601,0.7586206896551724,0.7674418604651163,0.6619190404797601
51,<itertools.product object at 0x7f1a9d680318>,0.6088205897051474,0.8045977011494253,0.7216494845360825,0.6088205897051475
52,<itertools.product object at 0x7f1a9d680318>,0.6045977011494252,0.6091954022988506,0.7464788732394366,0.6045977011494252
53,<itertools.product object at 0x7f1a9d680318>,0.6904214559386973,0.7586206896551724,0.7951807228915663,0.6904214559386973
54,<itertools.product object at 0x7f1a9d680318>,0.7001291989664082,0.7558139534883721,0.8024691358024691,0.7001291989664082
55,<itertools.product object at 0x7f1a9d680318>,0.6192546583850931,0.5428571428571428,0.5757575757575758,0.6192546583850931
56,<itertools.product object at 0x7f1a9d680318>,0.6437888198757764,0.6571428571428571,0.575,0.6437888198757764
57,<itertools.product object at 0x7f1a9d680318>,0.7142857142857143,0.6285714285714286,0.7096774193548387,0.7142857142857143
58,<itertools.product object at 0x7f1a9d680318>,0.5984126984126984,0.4857142857142857,0.5666666666666667,0.5984126984126985
59,<itertools.product object at 0x7f1a9d680318>,0.7343137254901961,0.7352941176470589,0.6756756756756757,0.7343137254901961
60,<itertools.product object at 0x7f1a9d680318>,0.7042025862068966,0.6896551724137931,0.6896551724137931,0.7042025862068966
61,<itertools.product object at 0x7f1a9d680318>,0.685480943738657,0.6551724137931034,0.6785714285714286,0.685480943738657
62,<itertools.product object at 0x7f1a9d680318>,0.6812514984416207,0.6511627906976745,0.6666666666666666,0.6812514984416208
63,<itertools.product object at 0x7f1a9d680318>,0.6400862068965517,0.6551724137931034,0.6129032258064516,0.6400862068965517
64,<itertools.product object at 0x7f1a9d680318>,0.721289858547111,0.7209302325581395,0.6966292134831461,0.721289858547111
65,<itertools.product object at 0x7f1a9d680318>,0.7033983008495752,0.8850574712643678,0.7777777777777778,0.7033983008495752
66,<itertools.product object at 0x7f1a9d680318>,0.643928035982009,0.896551724137931,0.7358490566037735,0.643928035982009
67,<itertools.product object at 0x7f1a9d680318>,0.6239429175475687,0.9069767441860465,0.7289719626168224,0.6239429175475687
68,<itertools.product object at 0x7f1a9d680318>,0.69272030651341,0.896551724137931,0.7722772277227723,0.69272030651341
69,<itertools.product object at 0x7f1a9d680318>,0.7085271317829458,0.8837209302325582,0.7835051546391752,0.7085271317829458
70,<itertools.product object at 0x7f1a9d680318>,0.6956521739130435,0.5,0.7727272727272727,0.6956521739130435
71,<itertools.product object at 0x7f1a9d680318>,0.668944099378882,0.6857142857142857,0.6,0.668944099378882
72,<itertools.product object at 0x7f1a9d680318>,0.8090909090909091,0.8,0.7777777777777778,0.8090909090909091
73,<itertools.product object at 0x7f1a9d680318>,0.6825396825396826,0.5428571428571428,0.7037037037037037,0.6825396825396824
74,<itertools.product object at 0x7f1a9d680318>,0.8120915032679739,0.7352941176470589,0.8333333333333334,0.8120915032679739
75,<itertools.product object at 0x7f1a9d680318>,0.6973778735632183,0.6551724137931034,0.6951219512195121,0.6973778735632183
76,<itertools.product object at 0x7f1a9d680318>,0.6955232909860859,0.6436781609195402,0.7,0.6955232909860859
77,<itertools.product object at 0x7f1a9d680318>,0.7329177655238552,0.7441860465116279,0.7032967032967034,0.7329177655238551
78,<itertools.product object at 0x7f1a9d680318>,0.6655890804597702,0.6436781609195402,0.6511627906976745,0.66558908045977
79,<itertools.product object at 0x7f1a9d680318>,0.7335770798369696,0.7558139534883721,0.6989247311827957,0.7335770798369696
80,<itertools.product object at 0x7f1a9d680318>,0.7195152423788106,0.6781609195402298,0.8428571428571429,0.7195152423788106
81,<itertools.product object at 0x7f1a9d680318>,0.6363068465767117,0.8160919540229885,0.7395833333333334,0.6363068465767117
82,<itertools.product object at 0x7f1a9d680318>,0.69053911205074,0.7674418604651163,0.7951807228915663,0.69053911205074
83,<itertools.product object at 0x7f1a9d680318>,0.7172413793103448,0.7011494252873564,0.8356164383561644,0.7172413793103449
84,<itertools.product object at 0x7f1a9d680318>,0.7784237726098191,0.7790697674418605,0.8701298701298701,0.7784237726098191
85,<itertools.product object at 0x7f1a9d680318>,0.7218670076726343,0.6176470588235294,0.7241379310344828,0.7218670076726343
86,<itertools.product object at 0x7f1a9d680318>,0.7695652173913043,0.8,0.7,0.7695652173913043
87,<itertools.product object at 0x7f1a9d680318>,0.8006493506493506,0.8285714285714286,0.7435897435897436,0.8006493506493506
88,<itertools.product object at 0x7f1a9d680318>,0.7206349206349206,0.6857142857142857,0.6857142857142857,0.7206349206349206
89,<itertools.product object at 0x7f1a9d680318>,0.734640522875817,0.6470588235294118,0.7333333333333333,0.7346405228758169
